 AGRALE,,,,,,,,,
Nº 12 SERIE 61M1-UP,H2033,P5054,,J3101,J3102,(2) K4044(HI),,,
,,,,,,K4044(TH),,,
Nº 140 SERIE 11R1-651,T2040,P5054,,J3085,J3100,K4048(TH),,,
,,,,,,K4048(DH),,,
Nº 140 SERIE 72V1-UP. 81V1-UP,H2033,P5054,,J3085,J3086,(2) K4044(HI),,,
,,,,,,K4044(TH),,,
,,,,,,K4048(DH),,,
Nº 120 SERIE 14K,T2040,P5054,,J3085,J3100,K4048(TH),,,
,,,,,,K4048(DH),,,
Nº 120 SERIE 13  V1-681,T2040,P5054,,J3085,J3100,K4044(TH),,,
,,,,,,K4048(DH),,,
Nº 120 SERIE 82 V1-UP. 87 V1-UP Ind Brasilera,H2033,P5054,,J3101,J3102J3624,K4044(TH),,,
,,,,,,K4048(DH),,,
H-120 MOTONIVELADORA,,P5119,,J3541R,J3542R,K4032(HI) K4044 (DH),,,
416. 430 Retroexcavadora,H2015,(2) Z5020,,J3365,J3551,K4055(C),,,
,,,,,,,,,
416C Retroexcavadora,H2013,,,J3520R,J3521R,K4055(C),,,
,,,,,,,,,
426   RETRO,,,,J3365,J3551,,,,
428   RETRO,,,,j3365,J3551,,,,
320 L,H2033,P5119,,J3227,J3228,K4078(HI),,,
320 BL,,P5085,,J3227,J3228,,,,
315 Excavadora,H2088,P5085,,,,,,,
315,,,,J3503,J3002,,,,
245 SERIE 95V178-UP,H2044,P5060,,J3096,J3097,(2) K4046(HI),,,
225 SERIE 51U1-589,H2088,P5023,,J3085,J3100,(2)  K4046(HI),,,
225 SERIE 51U590-2831,(2) H2088,P5023,,J3085,J3100,(2) K4046(HI),,,
225 SERIE 51U2832-UP,(2) H2046,P5054,,J3085,J3100,(2) K4046(HI),,,
215 SERIE 96 L1-UP,H2033,P5054,,J3085,J3100,(2) K4005 (C)K4028,,,
CHALLENGER,,,,J3516 PC,,,,,
COSECHADORA ROT AXIALES C 660,,,,,,,,,
COSECHADORA ROT AXIALES C 670,,,,,,,,,
CHALLENGER 670 ACRT C 9 350 HP Cosechadora,,,,J3689,J3690,,,,
TRACTOR MT434 Perkins P 4001 Natural,,,,,,,,,
TRACTOR MT444 Perkins P 4001 Natural,,,,,,,,,
TRACTOR MT454 Perkins P 4001 Turbo,,,,,,,,,
TRACTOR MT464 Perkins P 4001 Turbo,,,,,,,,,
TRACTOR MT476 Perkins T1006.6 Natural,,,,,,,,,
TRACTOR MT735 185 HP ,,,,,,,,,
TRACTOR MT745 205 HP,,,,,,,,,
TRACTOR MT755 235 HP,,,,,,,,,
TRACTOR MT765 25 HP,,,,,,,,,
,,,,,,,,,
 CBT TRACTOR,,,,,,,,,
1065. 2080 motor MB OM314,T2100,(2) Z5055,,J3034,J3035,,,,
1105. 2105. 2600. 8060 motor MB OM352 A,T2102,(2) Z5055,,J3036,J3037,K4053(HI),,,
2400 motor Detroit Diesel,T2003,Z5027,Z5028,,,,,,
 8240 motor Perkins 4248,H2013,(2) Z5020,,J3017,J3029,K4027(HI),,,
 8260 motor Perkins 6.354,H2015,(2) Z5020,,J3036,J3037,K4053(HI),,,
 8440 motor MWM D229/4,H2088,(2) Z5055,,J3034,J3035,K4027(HI),,,
 8450 4X4 motor MWM TD229/4 EC Turbo,H2088,(2) Z5055,,J3034,J3035,,,,
,,,,,,,,,
CIANGO,,,,,,,,,
PALA CARGADORA 214 Cummins Chino,,,,J3645,J3646,,,,
,,,,,,,,,
CHAMPION,,,,,,,,,
710 A,H2168,P5036,P5073,J3289,J3290,,,,
720 -720 A-726A Cummins 6CT 8.3,H2198,P5036,(2) P5073,J3289,J3290,W6007(IC),,,
730-730A-736A   Cummins 6 CT 8.3,H2198,P5036,(2) P5073,J3287,J3288,,,,
 740 A ,H2198,P5036,P5073,J3457,J3458,W6007(IC),,,
Champion 760 (Motoniveladora),,,,,,K4065(HI),,,
,,,,,,,,,
CLASS,,,,,,,,,
495 PICADORA DE FORRAJE C/M M/B,T2149,(2) Z5038,,J3182,J3183,,,,
,,,,,,,,,
CRYBSA,,,,,,,,,
C-125TE motor Perkins 4-203,H2013,(2) Z5020,,J3032,J3033,,,,
C-1100 motor Perkins 6PF-305,H2015,(2) Z5020,,J3034,J3035,,,,
C-1135 motor Perkins 6-354,H2015,(2) Z5020,,J3036,J3037,,,,
C-1160 motor Perkins 6-354,H2015,(2) Z5020,,J3036,J3037,,,,
C-1210 motor Perkins 6-354 Turbo,H2015,(2) Z5020,,J3087,J3031,,,,
,,,,,,,,,
DAEWOO ,,,,,,,,,
AUTOELEVADOR 225 S,H2168,P5083,,J3482,J3483,K4027  K4055 TH,,,
RETROEXCAVADORA 280 SOLAR,H2047,(2) Z5038,,J3001,J3002,(2) K4078 HI,,,
RETROEXCAVADORA 220 SOLAR,H2047,P5142,,J3503,J3002,(2) K4103,,,
EXCAVADORA SOLAR 220 LC-V Cummins,H2168,P5036,P5121,J3481,J3499,K4078(HI),,,
,,,,,,K4130,,,
DEUTZ,,,,,,,,,
A-30. A-40 motor F2L-514,T2018,(2) Z5038,,,,,,,
A-30. A-40 motor F2L-514,H2019,(2) Z5038,,,,,,,
A-45 motor F2L-514,T2018,(2) Z5038,,,,,,,
A-46 motor F2L-1114,H2019,(2) Z5038,,,,,,,
A-46 motor F2L-514,H2019,Z5020,Z5040,,,,,,
A-55 motor F3L-514,T2100,(2) Z5038,,,,,,,
A-55 motor F3L-514,H2019,(2) Z5038,,,,,,,
A-65 motor F3L-1114,H2019,(2) Z5038,,,,,,,
A-65 motor F3L-1114,H2019,Z5020,Z5040,,,,,,
A-70 motor F4L-61 70HP,T2102,(2) Z5038,,,,,,,
A-70 motor F4L-514,T2100,(2) Z5038,,,,,,,
A-70 motor F4L-514,H2021,(2) Z5038,,,,,,,
A-85. A-100 motor F4L-1114,H2021,(2) Z5038,,,,,,,
A-85. A-100 motor F4L-1114,H2021,Z5020,Z5040,,,,,,
A-85 motor F4L-1114,H2021,Z5020,Z5042,,,,,,
A-110 motor F6L 86-106 HP,T2102,(2) Z5038,,,,,,,
A-110 motor F6L-514,T2100,(2) Z5038,,,,,,,
A-110 motor F6L-514,H2021,(2) Z5038,,J3036,J3037,,,,
DEUTZ (Continuación),,,,,,,,,
A-130 motor F6L-514,H2021,(2) Z5038,,,,,,,
A-130 motor F6L-1114,H2021,(2) Z5038,,,,,,,
A-130 motor F6L-1114,H2021,Z5020,Z5040,J3038,J3039,,,,
A-130 motor F6L-1114,H2021,Z5020,Z5042,J3036,J3037,,,,
A-144 motor F6L-2114,H2021,(2) Z5038,,J3038,J3039,,,,
Araus Optima Cosechadora,H2002,,,,,K4034(HI),,,
AX4.60. 4.60 Viñatero. 4.60 Doble Tracción motor F3L 913,H2021,P5073,Z5042,J3032,J3033,K4018(HI),,,
AX4.70A motor BF4L 913,H2021,P5073,Z5042,J3034,J3035,,,,
AX4.75. 4.75 Doble Tracción motor F4L 913,H2021,P5073,Z5042,J3034,J3035,K4018(HI),,,
AX4.100. 4.100 L. 4.100 Doble Tracción motor F5L 913,H2021,P5073,Z5042,J3034,J3035,K4018(HI),,,
AX4.120. 4.120L. 4.120 Doble Tracción,H2021,P5073,Z5042,J3036,J3037,K4018(HI),,,
AX4.140 Doble Tracción motor BF6L 912T,H2022,P5073,Z5042,J3087,J3031,K4018(HI),,,
AX4.160 motor BF6L 913,H2022,P5073,Z5042,J3087,J3031,K4018(HI),,,
AX4.190 motor BF6L 913C,H2022,P5073,Z5042,J3040,J3041,K4018(HI),,,
AX 5.65 simple y doble tracción motor F3L 913,H2021,Z5042,P5073,J3032,J3033,K4018(HI),,,
AX 5.80 simple y doble tracción motor F4L 913,H2021,Z5042,P5073,J3032,J3033,K4018(HI),,,
AX 5.100 simple y doble tracción motor F5L 913,H2021,Z5042,P5073,J3034,J3035,K4018(HI),,,
AX 5.125 simple y doble tracción motor F6L 913,H2021,Z5042,P5073,J3087,J3031,K4018(HI),,,
AX 5.145 simple y doble tracción motor BF 6L 913,H2021,Z5042,P5073,J3087,J3031,K4018(HI),,,
AX 5.170 turbo. 162. motor BF6L 913C,H2021,Z5042,P5073,J3040,J3041,K4018(HI),,,
AX 5.190 turbo 180CV post enfriado motor BF6L 913C,H2022,Z5042,P5073,J3040,J3041,K4018(HI),,,
AX80-S. AX80-C. AX100-S,H2021,P5073,Z5042,J3034,J3035,K4018(HI),,,
AX100-S motor F5L-913,H2021,P5073,Z5042,J3036,J3037,K4017(HI),,,
AX120-S motor F6L-913,H2021,P5073,Z5042,J3036,J3037,K4018(HI),,,
AX160-S Turbo motor VF6L 913T,H2022,P5073,Z5042,J3087,J3031,(2) K4018(HI),,,
Cosechadora 4040,H2022,P5073,Z5042,J3040,J3041,K4018(HI),,,
DX90 motor F5L 913,H2021,P5073,Z5042,J3036,J3037,,,,
